Specimen ID,Specimen,Sample,Sample ID,Run Time,All Abs. Count,All Count,E4 Abs. Count,Abs_count_minus_negative
26,T3_______8_5_20,108 1:10,3473,8/5/20 15:28,2524,50124,20.1,20.1
26,T3_______8_5_20,109 1:10,3475,8/5/20 15:30,2678,53142,6.9,6.9
26,T3_______8_5_20,110 1:10,3476,8/5/20 15:39,474,9474,22.1,22.1
26,T3_______8_5_20,110 1:5,3479,8/5/20 15:41,542,10817,35.1,35.1
26,T3_______8_5_20,111 1:10,3477,8/5/20 15:42,1815,36125,13.7,13.7
27,T4_______8_12_20,unstained_GTA,3486,8/12/20 10:36,0,0,0,0
27,T4_______8_12_20,n1,3487,8/12/20 10:37,116,2287,0.35,0.35
27,T4_______8_12_20,n2,3488,8/12/20 10:38,200,3993,0.5,0.5
27,T4_______8_12_20,n3,3489,8/12/20 10:40,185,3692,0.35,0.35
27,T4_______8_12_20,n4,3490,8/12/20 10:41,166,3312,0.45,0.45
27,T4_______8_12_20,n5,3491,8/12/20 10:42,116,2304,0.6,0.6
27,T4_______8_12_20,86 1:10,3585,8/12/20 10:44,2738,54386,27.9,27.9
27,T4_______8_12_20,112 1:10,3492,8/12/20 10:48,2534,50326,16.7,16.7
27,T4_______8_12_20,113 1:10,3494,8/12/20 10:49,391,4618,2.03,2.03
27,T4_______8_12_20,113,3495,8/12/20 10:50,1162,23151,0.5,0.5
27,T4_______8_12_20,114 1:10,3496,8/12/20 10:51,188,3760,0,0
27,T4_______8_12_20,114,3497,8/12/20 10:52,317,9665,0.196,0.196
27,T4_______8_12_20,115 1:10,3498,8/12/20 10:54,2260,44909,20.6,20.6
27,T4_______8_12_20,116 1:10,3500,8/12/20 10:55,2335,46388,40.5,40.5
27,T4_______8_12_20,117 1:10,3502,8/12/20 10:56,525,10476,5.65,5.65
27,T4_______8_12_20,117 1:5,3503,8/12/20 10:59,668,13346,5.7,5.7
27,T4_______8_12_20,118 1:10,3504,8/12/20 11:00,2375,47178,12.3,12.3
27,T4_______8_12_20,118 1:20,3505,8/12/20 11:01,1100,21940,4,4
27,T4_______8_12_20,119 1:10,3506,8/12/20 11:03,2071,41148,36,36
27,T4_______8_12_20,120 1:10,3508,8/12/20 11:04,356,7113,1.25,1.25
27,T4_______8_12_20,120,3509,8/12/20 11:06,904,18016,40,40
27,T4_______8_12_20,121 1:10,3510,8/12/20 11:07,512,10231,2.45,2.45
27,T4_______8_12_20,121 1:2,3511,8/12/20 11:08,1266,25217,12,12
27,T4_______8_12_20,122  1:10,3512,8/12/20 11:09,640,12786,27.7,27.7
27,T4_______8_12_20,123 1:10,3514,8/12/20 11:10,2553,50640,22,22
27,T4_______8_12_20,124 1:10,3516,8/12/20 11:12,4221,83348,20.3,20.3
27,T4_______8_12_20,124 1:20,3517,8/12/20 11:13,2226,100167,9.83,9.83
27,T4_______8_12_20,125 1:10,3518,8/12/20 11:15,2523,50123,12.2,12.2
27,T4_______8_12_20,125 1:10 from OG,3519,8/12/20 11:17,1824,36257,2.2,2.2
27,T4_______8_12_20,126 1:10,3520,8/12/20 11:18,3772,74576,14.1,14.1
27,T4_______8_12_20,127 1:10,3522,8/12/20 11:19,3061,60615,38.2,38.2
27,T4_______8_12_20,128 1:10,3526,8/12/20 11:22,3902,77093,42,42
27,T4_______8_12_20,128 1:20,3525,8/12/20 11:24,1977,39330,23.7,23.7
27,T4_______8_12_20,129 1:10,3524,8/12/20 11:20,2331,46332,23.5,23.5
27,T4_______8_12_20,130 1:10,3528,8/12/20 11:25,439,8777,11.9,11.9
27,T4_______8_12_20,130 1:5,3529,8/12/20 11:30,557,11135,18.4,18.4
27,T4_______8_12_20,130,3587,8/12/20 11:36,2405,42164,61.2,61.2
27,T4_______8_12_20,131 1:10,3530,8/12/20 11:29,254,5076,0.3,0.3
27,T4_______8_12_20,131 1:2,3531,8/12/20 11:31,339,6783,0.3,0.3
